"LIBRARYREFERENCE","FOOTPRINT1","CABLE AWG","CAPACITANCE @ VR, F","CATEGORY","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","CONNECTIVITY","CONTACT LENGTH - MATING","CONTACT MATERIAL","CONTACT TYPE","CORE PROCESSOR","CORE SIZE","CURRENT - AVERAGE RECTIFIED (IO)","CURRENT - CONTINUOUS DRAIN (ID) @25°C","CURRENT - FORWARD (IF)","CURRENT - OPERATING SUPPLY","CURRENT - OUTPUT","CURRENT - PEAK OUTPUT (SOURCE, SINK)","CURRENT - QUIESCENT (IQ)","CURRENT - REVERSE LEAKAGE @ VR","CURRENT RATING (AMPS)","CURRENT RATING (MAX)","DATASHEET","DC RESISTANCE (DCR)","DC RESISTANCE (MAX)","DIELETRIC","DIODE TYPE","DRAIN TO SOURCE VOLTAGE (VDS)","DRIVE VOLTAGE (MAX RDS ON, MIN RDS ON)","ESR","FET TYPE","FREQUENCY - SELF RESONANT","FREQUENCY - SWITCHING","GATE CHARGE (QG) (MAX) @ VGS","INDUCTANCE FREQUENCY - TEST","INPUT CAPACITANCE (CISS) (MAX) @VDS","INSULATION MATERIAL","LIBRARY CONTROL - CHECKED FOOTPRINT","LIBRARY CONTROL - CHECKED SCHEMATIC","LIBRARY CONTROL - LAST PROJECT THAT USED","LIBRARY CONTROL - LAST UPDATE","LIBRARY CONTROL - PERSON THAT CHECKED FOOTPRINT","LIBRARY CONTROL - PERSON THAT CHECKED SCHEMATIC","LIBRARY CONTROL - PERSON THAT DID THE LAST UPDATE FOOTPRINT","LIBRARY CONTROL - PERSON THAT DID THE LAST UPDATE IN FOOTPRINT","LIBRARY CONTROL - PERSON THAT DID THE LAST UPDATE IN SCHEMATIC","LIBRARY CONTROL - PERSON THAT DID THE LAST UPDATE SCHEMATIC","LIBRARY REF","LOGIC (IN-SD/HIGH LOW)","LOGIC VOLTAGE - VIL, VIH","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MATERIAL - CORE","MAX CURRENT RATING","MAX FORWARD SURGE CURRENT (IFSM)","MAX POWER DISSIPATION","MOUNTING TYPE","MOUSER LINK","MOUSER LINK / ST LINK","NUMBER OF ADC CHANNELS","NUMBER OF ETHERNET CHANNELS","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF POSITIONS","NUMBER OF REGULATORS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TIMERS/COUNTERS","NUMBER OF UART CHANNELS","NUMBER OF USB CHANNELS","OPERATING SUPPLY CURRENT","OPERATING TEMPERATURE","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT TYPE","PACKAGE / CASE","PACKAGE/ CASE","PACKAGING","PART NUMBER","PERIPHERALS","PIRCE","PITCH","POWER DISSIPATION","POWER DISSIPATION (MAX)","POWER RATING","PRICE","PROGRAM MEMORY SIZE","PROGRAM MEMORY TYPE","Q @ FREQ","RAM SIZE","RDS ON (MAX) @ ID, VGS","RECOMENDED CATEGORY","RECOVERY TIME","RESISTOR TYPE","REVERSE VOLTAGE:","RISE / FALL TIME (TYP)","SERIES","SHIELDING","SHROUDING","SIZE","SIZE / DIMENSION","SPEED","SUPLIER PART NUMBER 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","TECHNOLOGY","TEMPERATURE COEFFICIENT","TERMINATION","TEST FREQUENCY","TOLERANCE","TOLERANCEPARAMETER 21","TYPE","VALUE","VGS (MAX)","VGS(TH) (MAX) ID","VIEWING ANGLE","VOLTAGE - DC REVERSE (VR) (MAX)","VOLTAGE - DROPOUT (MAX)","VOLTAGE - FORWARD (VF)","VOLTAGE - FORWARD (VF) (MAX) @ IF","VOLTAGE - INPUT (MAX)","VOLTAGE - INPUT (MIN)","VOLTAGE - LOAD","VOLTAGE - OUTPUT (MAX)","VOLTAGE - OUTPUT (MIN/FIXED)","VOLTAGE - RATED","VOLTAGE - SUPPLY","VOLTAGE - SUPPLY (VCC/VDD)","VOLTAGE RATING","WAVELENGTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"Capacitor Model","C0603","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","C?","CAP CER 1UF 25V X7R 0603"
"Connector Model","","","","","","=Part Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","CONN HEADER VERT 10POS 2.54MM"
"Diode Model","","","*","","","=Part Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","DIODE GEN PURP 100V 300MA SOD123"
"Driver Model","","","","Driver","","=Part Number","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","1="value", 10="value", 100="value" (USD)","","","","","","","","","","*","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC MTR DRV "Voltage - Load" "Current Output" "Package / Case""
"Ferrite Bead Model","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","FB?","FERRITE BEADS 220 OHM 25% 0.450A 0603"
"Ground Pad Model","","","","","","Ground Pad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","GND?","GND PAD CATEGORY"
"Inductor Model","","","","*","","=Value","","","","","","","","","","","","","","","","","","","*","","*","*","","","","","","","","*","","","*","","","*","","*","*","*","*","*","","","*","*","","","","*","","*","","","","","*","","","","","","","","","","","","","","*","","","","*","","*","*","","","","","","","*","","","*","","","","","","","","","*","","","*","","","*","*","","","","","","*","*","*","","","","","","","","","","","","","","","","","","*","L?","IND FIXED 1.4nh 1.1A 40MOHM"
"Led Model","","","","","","=Color","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?","LED 0.072W RED 60MCD 0805"
"Liner Regulator Model","","","","","","=Part Number","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","*","U?","IC REG LINEAR 3.3V 1A SOT-23-5"
"MOSFET-N Model","","","","","","=Part Number","Datasheet","*","Mouser","*","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","*","Q?","MOSFET N-CH 30V 5A SOT-23-3"
"MOSFET-N Model-Freewheeling-Diode","","","","","","=Part Number","Datasheet","*","Mouser","*","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","*","Q?","MOSFET N-CH 30V 5A SOT-23-3"
"MOSFET-P Model","","","","","","=Part Number","Datasheet","*","Mouser","*","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","*","Q?","MOSFET P-CH 20V 11A SO-8"
"MOSFET-P Model_Freewheeling_Diode","","","","","","=Part Number","Datasheet","*","Mouser","*","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","*","Q?","MOSFET P-CH 20V 11A SO-8"
"Microcontroller Model","","","","","","=Part Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC MCU 32BIT 1MB FLASH ARM-M4 168MHZ LQFP-100"
"Motor Pad Model","","","","","","Motor Pad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","M?","MOTOR PAD CATEGORY"
"Resistor Model","RESISTOR_0603","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","R?","RES SMD 1.05K OHM 0.1% 1/10W 0603"
"Source Pad Model","","","","","","Source Pad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","VCC?","VCC PAD CATEGORY"
"Switching Regulator Model","","","","","","=Part Number","","","","","","","","","","","","","","*","*","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","*","","","","","","","*","U?","IC REG SWITCHING 5V 2.5A 13.1W"
